increment,array,row,parameter,oti,fd,abs_diff,rel_diff
9,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
9,DSIGMA_DP,6,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,1,E,2.0192307692e-03,2.0192307694e-03,1.692e-13,1.692e-13
10,DSIGMA_DP,1,NU,1.1316568047e+03,1.1316568047e+03,3.373e-08,2.980e-11
10,DSIGMA_DP,1,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,1,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,2,E,8.6538461538e-04,8.6538461559e-04,2.054e-13,2.054e-13
10,DSIGMA_DP,2,NU,1.3091715976e+03,1.3091715976e+03,3.313e-08,2.531e-11
10,DSIGMA_DP,2,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,2,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,3,E,8.6538461538e-04,8.6538461559e-04,2.054e-13,2.054e-13
10,DSIGMA_DP,3,NU,1.3091715976e+03,1.3091715976e+03,3.313e-08,2.531e-11
10,DSIGMA_DP,3,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,3,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
